Date_Posted,Year,Month,City,Country,Work_Type,Gender_Preference,Job_Title,Specialization,Job_Portal,Company,Company_Size,Company_Sector,Minimum_Experience (years),Maximum_Experience (years),Position_level,Qualifications,Minimum Salary,Maximum Salary,Avg_Salary
2023-05-07,2023,5,Canberra,Australia,Temporary,Both,Database Developer,SQL Database Developer,FlexJobs,ServiceNow,500 or above,Information Technology,5,12,Senior,B.Com,56000,128000,92000
2023-04-05,2023,4,New Delhi,India,Temporary,Male,Legal Counsel,Intellectual Property Lawyer,SimplyHired,SSE plc,500 or above,Utilities,2,11,Senior,M.Com,65000,94000,79500
2022-05-11,2022,5,Beijing,China,Part-Time,Female,Purchasing Agent,Supply Chain Coordinator,Jobs2Careers,Texas Instruments,500 or above,Technology,4,10,Senior,M.Tech,56000,85000,70500
2022-01-05,2022,1,Tokyo,Japan,Temporary,Both,Urban Planner,Environmental Planner,Snagajob,HeidelbergCement AG,500 or above,Building Materials,4,14,Senior,PhD,63000,112000,87500
2022-02-10,2022,2,London,UK,Full-Time,Female,Pharmaceutical Sales Representative,Territory Sales Manager,Idealist,World Fuel Services,500 or above,Energy,2,11,Senior,M.Com,65000,104000,84500
2023-01-06,2023,1,Hanoi,Vietnam,Full-Time,Both,Executive Assistant,Office Manager,Stack Overflow Jobs,Havells India,500 or above,Electrical Equipment,3,13,Senior,B.Com,60000,125000,92500
2025-03-04,2025,3,Hanoi,Vietnam,Intern,Male,Office Manager,Administrative Manager,USAJOBS,Liberty Mutual Insurance Group,500 or above,Insurance,1,15,Senior,MBA,56000,109000,82500
2022-10-09,2022,10,New Delhi,India,Full-Time,Both,Substance Abuse Counselor,Addiction Counselor,Indeed,Commerzbank AG,500 or above,Financial Services,3,8,Senior,MCA,63000,112000,87500
2023-02-07,2023,2,Madrid,Spain,Contract,Female,Financial Advisor,Retirement Planner,LinkedIn,Keurig Dr Pepper,500 or above,Beverage,5,15,Senior,PhD,64000,87000,75500
2022-10-12,2022,10,Beijing,China,Full-Time,Male,Copywriter,Technical Copywriter,FlexJobs,Mondelez International,500 or above,Food and Beverage,1,8,Senior,BA,56000,91000,73500
2022-10-10,2022,10,Paris,France,Contract,Both,Speech Therapist,Speech Pathologist,FlexJobs,Block,500 or above,Technology,5,15,Senior,BA,57000,110000,83500
2024-12-04,2024,12,Berlin,Germany,Temporary,Male,Marketing Specialist,Digital Marketing Specialist,Stack Overflow Jobs,Truist Financial,500 or above,Financial Services,3,11,Senior,PhD,55000,121000,88000
2023-12-07,2023,12,Beijing,China,Contract,Male,Sales Consultant,Sales Advisor,SimplyHired,PNC Financial Services Group,500 or above,Financial Services,2,9,Senior,BCA,65000,104000,84500
2022-07-02,2022,7,Hanoi,Vietnam,Intern,Female,Chemical Engineer,Research and Development (R&D) Engineer,Stack Overflow Jobs,Exelon,500 or above,Energy,0,11,Senior,MBA,58000,128000,93000
2022-03-06,2022,3,Berlin,Germany,Intern,Male,Social Media Coordinator,Content Creator,Monster,Blackstone,500 or above,Financial Services,2,10,Senior,M.Tech,57000,92000,74500
2022-04-01,2022,4,Bangkok,Thailand,Temporary,Both,UI Developer,Front-End Developer,Monster,Seek Limited,500 or above,Online Job Search,5,11,Senior,M.Com,58000,112000,85000
2022-10-09,2022,10,London,UK,Full-Time,Both,Legal Counsel,Employment Lawyer,FlexJobs,China COSCO Shipping Corporation,500 or above,Shipping and Logistics,0,11,Senior,M.Tech,61000,86000,73500
2023-10-04,2023,10,Canberra,Australia,Temporary,Both,Executive Assistant,Office Manager,SimplyHired,Ashtead Group,500 or above,Equipment Rental,0,15,Senior,M.Tech,55000,116000,85500
2023-11-09,2023,11,Ottawa,Canada,Temporary,Both,Graphic Designer,Print Graphic Designer,Stack Overflow Jobs,News Corp.,500 or above,Media,1,13,Senior,MCA,58000,86000,72000
2024-06-10,2024,6,Lisbon,Portugal,Full-Time,Female,Supply Chain Manager,Demand Planner,Internships.com,Carrier Global,500 or above,HVAC/Industrial,4,9,Senior,BA,57000,105000,81000
2023-10-03,2023,10,New Delhi,India,Intern,Both,Family Lawyer,Child Custody Lawyer,SimplyHired,ON Semiconductor,500 or above,Technology,1,13,Senior,M.Com,64000,91000,77500
2023-11-11,2023,11,Singapore,Singapore,Contract,Both,Electrical Designer,Electrical Engineer,ZipRecruiter,Hikma Pharmaceuticals,500 or above,Pharmaceuticals,5,8,Senior,MBA,58000,101000,79500
2023-06-04,2023,6,Bangkok,Thailand,Full-Time,Female,Litigation Attorney,Corporate Litigator,SimplyHired,Compass Group,500 or above,Food Services,4,10,Senior,MBA,62000,87000,74500
2025-06-05,2025,6,Canberra,Australia,Part-Time,Both,Systems Administrator,Database Administrator,Jobs2Careers,Targa Resources,500 or above,Energy,0,9,Senior,PhD,65000,103000,84000
2022-03-09,2022,3,Hanoi,Vietnam,Part-Time,Female,Landscape Architect,Residential Landscape Designer,FlexJobs,Weir Group,500 or above,Engineering,5,14,Senior,BBA,59000,105000,82000
2022-06-11,2022,6,Paris,France,Temporary,Male,Graphic Designer,Print Graphic Designer,LinkedIn,Fortescue Metals Group,500 or above,Mining and Metals,3,11,Senior,BA,61000,110000,85500
2021-11-12,2021,11,Paris,France,Contract,Male,Marketing Analyst,Data Analyst,Stack Overflow Jobs,Hormel Foods,500 or above,Food,3,15,Senior,PhD,62000,84000,73000
2023-04-05,2023,4,London,UK,Temporary,Female,Financial Analyst,Investment Analyst,Jobs2Careers,Sonic Automotive,500 or above,Automotive,1,10,Senior,PhD,60000,84000,72000
2024-05-05,2024,5,New Delhi,India,Full-Time,Both,Pediatrician,Pediatric Surgeon,Jobs2Careers,Publix Super Markets,500 or above,Retail,4,8,Senior,MCA,57000,91000,74000
2022-07-09,2022,7,Singapore,Singapore,Full-Time,Both,Registered Nurse,Clinical Nurse Specialist,FlexJobs,Electrocomponents,500 or above,Electronics,2,12,Senior,BBA,64000,92000,78000
2023-11-01,2023,11,Tokyo,Japan,Temporary,Both,Marketing Specialist,Marketing Analytics Specialist,FlexJobs,Univar Solutions,500 or above,Chemicals,5,11,Senior,B.Tech,57000,116000,86500
2023-09-08,2023,9,Tokyo,Japan,Full-Time,Both,Mechanical Engineer,Manufacturing Engineer,Dice,Reliance Industries Limited,500 or above,Conglomerate,4,11,Senior,BBA,61000,129000,95000
2023-04-09,2023,4,Tokyo,Japan,Contract,Female,Front-End Developer,Accessibility Developer,Idealist,Kyndryl Holdings,500 or above,IT Services,4,14,Senior,BCA,61000,86000,73500
2023-07-01,2023,7,City of Port Louis,Mauritius,Part-Time,Male,Sales Representative,Account Executive,Idealist,Consolidated Edison,500 or above,Utilities,3,8,Senior,MCA,64000,105000,84500
2022-06-02,2022,6,Canberra,Australia,Contract,Female,Chemical Engineer,Process Engineer,ZipRecruiter,Yum China Holdings,500 or above,Restaurants,2,15,Senior,BBA,58000,84000,71000
2023-01-01,2023,1,Madrid,Spain,Part-Time,Both,Technical Writer,Documentation Specialist,Glassdoor,Infineon Technologies AG,500 or above,Semiconductors,1,14,Senior,M.Com,55000,91000,73000
2023-04-04,2023,4,City of Port Louis,Mauritius,Temporary,Both,Social Media Coordinator,Content Creator,Snagajob,Truist Financial,500 or above,Financial Services,4,12,Senior,MCA,57000,104000,80500
2023-03-02,2023,3,Hanoi,Vietnam,Full-Time,Male,Landscape Architect,Residential Landscape Designer,Idealist,Tractor Supply,500 or above,Retail,1,11,Senior,MBA,63000,94000,78500
2023-05-12,2023,5,Beijing,China,Full-Time,Female,Digital Marketing Specialist,SEO Specialist,Monster,Northrop Grumman,500 or above,Aerospace and Defense,1,8,Senior,PhD,60000,125000,92500
2024-01-05,2024,1,Madrid,Spain,Intern,Female,Mechanical Engineer,Mechanical Design Engineer,Idealist,Alibaba Health Information Technology,500 or above,Healthcare Technology,0,12,Senior,MCA,61000,92000,76500
2023-08-01,2023,8,Madrid,Spain,Full-Time,Male,Network Administrator,Systems Administrator,The Muse,Graphic Packaging Holding,500 or above,Packaging,5,10,Senior,B.Com,60000,97000,78500
2023-06-06,2023,6,City of Port Louis,Mauritius,Part-Time,Both,Procurement Manager,Strategic Sourcing Manager,Jobs2Careers,Markel,500 or above,Insurance,4,11,Senior,B.Tech,64000,84000,74000
2023-07-06,2023,7,"Washington, D.C.",USA,Intern,Female,Data Engineer,ETL Developer,FlexJobs,Kinder Morgan,500 or above,Energy,4,10,Senior,M.Com,64000,124000,94000
2022-11-09,2022,11,Brussels,Belgium,Full-Time,Both,Tax Consultant,Business Tax Consultant,Jobs2Careers,ITC Limited,500 or above,Consumer Goods,5,13,Senior,MCA,61000,125000,93000
2023-03-09,2023,3,Hanoi,Vietnam,Part-Time,Male,Customer Support Specialist,Technical Support Specialist,Jobs2Careers,MTU Aero Engines AG,500 or above,Aerospace and Defense,3,14,Senior,BCA,55000,111000,83000
2023-01-05,2023,1,City of Port Louis,Mauritius,Full-Time,Male,Physician Assistant,Primary Care Physician Assistant,ZipRecruiter,HDFC Bank,500 or above,Banking,3,14,Senior,PhD,61000,113000,87000
2023-05-06,2023,5,Beijing,China,Temporary,Both,Teacher,Special Education Teacher,Snagajob,Brewin Dolphin,500 or above,Financial Services,1,10,Senior,PhD,62000,107000,84500
2024-02-11,2024,2,Canberra,Australia,Full-Time,Both,Financial Advisor,Investment Advisor,Glassdoor,Sage Group,500 or above,Software and Technology,2,12,Senior,MCA,61000,85000,73000
2023-02-09,2023,2,New Delhi,India,Temporary,Male,Supply Chain Analyst,Logistics Analyst,Dice,Morgan Stanley,500 or above,Financial Services,3,8,Senior,BBA,56000,114000,85000
2022-02-07,2022,2,Singapore,Singapore,Part-Time,Both,Procurement Specialist,Sourcing Analyst,Internships.com,Adobe,500 or above,Technology,5,13,Senior,B.Com,65000,99000,82000
2023-06-01,2023,6,"Washington, D.C.",USA,Full-Time,Male,Systems Administrator,Database Administrator,Idealist,Derwent London,51-500,Real Estate,0,14,Senior,M.Tech,61000,129000,95000
2024-05-03,2024,5,Lisbon,Portugal,Intern,Both,Network Engineer,Network Administrator,The Muse,Dick's Sporting Goods,500 or above,Retail,1,15,Senior,MCA,57000,91000,74000
2022-08-12,2022,8,Brussels,Belgium,Part-Time,Male,Customer Service Manager,Customer Experience Strategist,Internships.com,Danaher,500 or above,Healthcare,1,11,Senior,B.Com,65000,109000,87000
2023-12-05,2023,12,New Delhi,India,Full-Time,Male,Pediatrician,Pediatric Surgeon,Glassdoor,TJX,500 or above,Retail,3,12,Senior,B.Tech,59000,100000,79500
2023-11-03,2023,11,Hanoi,Vietnam,Part-Time,Both,Purchasing Agent,Supply Chain Coordinator,CareerBuilder,Tenet Healthcare,500 or above,Healthcare,4,8,Senior,BCA,60000,122000,91000
2022-10-09,2022,10,Beijing,China,Temporary,Male,Chemical Analyst,Quality Control Analyst,Dice,Stockland Corporation,500 or above,Real Estate/Property Development,5,11,Senior,BA,58000,116000,87000
2024-08-06,2024,8,Hanoi,Vietnam,Full-Time,Male,Data Analyst,Business Intelligence Analyst,The Muse,Leidos Holdings,500 or above,IT Services,4,10,Senior,BA,60000,82000,71000
2023-06-03,2023,6,Brussels,Belgium,Part-Time,Female,Procurement Specialist,Procurement Manager,Stack Overflow Jobs,Walt Disney,500 or above,Entertainment,0,8,Senior,BBA,57000,105000,81000
2025-05-07,2025,5,Beijing,China,Intern,Both,UX/UI Designer,User Experience Designer,Internships.com,B&M,500 or above,Retail,3,9,Senior,M.Tech,61000,94000,77500
2023-04-06,2023,4,Brussels,Belgium,Temporary,Both,Financial Advisor,Retirement Planner,USAJOBS,HDFC Bank,500 or above,Banking,5,15,Senior,MBA,56000,81000,68500
2023-02-06,2023,2,"Washington, D.C.",USA,Intern,Female,Investment Banker,Mergers and Acquisitions Advisor,Indeed,Alibaba Health Information Technology,500 or above,Healthcare Technology,0,14,Senior,B.Tech,63000,114000,88500
2025-05-08,2025,5,Hanoi,Vietnam,Part-Time,Both,Event Coordinator,Corporate Event Coordinator,Monster,Johnson Controls International plc,500 or above,Manufacturing/Building Systems,1,14,Senior,M.Com,63000,111000,87000
2023-10-06,2023,10,New Delhi,India,Full-Time,Female,Civil Engineer,Transportation Engineer,USAJOBS,Torrent Pharmaceuticals,500 or above,Pharmaceuticals,4,10,Senior,PhD,64000,118000,91000
2024-10-08,2024,10,Canberra,Australia,Part-Time,Female,Data Analyst,Business Intelligence Analyst,Jobs2Careers,Mondelez International,500 or above,Food and Beverage,1,8,Senior,BCA,63000,120000,91500
2021-11-12,2021,11,Tokyo,Japan,Full-Time,Both,Administrative Assistant,Executive Assistant,The Muse,Liberty Mutual Insurance Group,500 or above,Insurance,0,15,Senior,MBA,57000,99000,78000
2024-01-11,2024,1,London,UK,Contract,Male,Legal Advisor,In-House Counsel,Stack Overflow Jobs,"McCormick & Company, Incorporated",500 or above,Food and Beverage/Spices,2,10,Senior,M.Com,59000,105000,82000
2024-03-01,2024,3,Bangkok,Thailand,Part-Time,Male,Graphic Designer,UI/UX Designer,Stack Overflow Jobs,Hershey,500 or above,Food & Confectionery,3,14,Senior,M.Com,55000,120000,87500
2022-10-05,2022,10,Singapore,Singapore,Intern,Female,Mechanical Designer,CAD Technician,Dice,GlaxoSmithKline,500 or above,Pharmaceuticals,2,10,Senior,BCA,56000,116000,86000
2022-11-02,2022,11,Beijing,China,Part-Time,Both,Marketing Director,Brand Director,Idealist,Ping An Insurance,500 or above,Insurance,1,12,Senior,B.Com,55000,111000,83000
2023-05-09,2023,5,Madrid,Spain,Contract,Male,Web Developer,Full-Stack Developer,Monster,Auto Trader Group,500 or above,Automotive,1,9,Senior,MBA,58000,112000,85000
2022-05-03,2022,5,London,UK,Contract,Both,Event Planner,Event Coordinator,Indeed,Westlake,500 or above,Chemicals,1,8,Senior,MCA,55000,105000,80000
2024-08-06,2024,8,City of Port Louis,Mauritius,Part-Time,Both,Web Designer,Frontend Web Designer,Idealist,Fortune Brands Innovations,500 or above,Manufacturing,4,13,Senior,BA,59000,106000,82500
2022-05-11,2022,5,Tokyo,Japan,Part-Time,Male,Public Relations Specialist,Brand PR Specialist,Stack Overflow Jobs,Indiabulls Housing Finance,500 or above,Financial Services,4,8,Senior,MCA,60000,101000,80500
2023-10-08,2023,10,Lisbon,Portugal,Intern,Male,Front-End Engineer,JavaScript Developer,Dice,Mphasis,500 or above,Information Technology,3,11,Senior,M.Tech,57000,91000,74000
2023-09-10,2023,9,Tokyo,Japan,Contract,Both,Quality Assurance Analyst,QA Tester,ZipRecruiter,Walt Disney,500 or above,Entertainment,0,10,Senior,M.Tech,57000,95000,76000
2022-09-06,2022,9,Ottawa,Canada,Part-Time,Male,Executive Assistant,Office Manager,The Muse,Arrow Electronics,500 or above,Technology,3,13,Senior,BA,62000,115000,88500
2023-01-08,2023,1,Paris,France,Contract,Male,Landscape Designer,Commercial Landscape Architect,Jobs2Careers,BMW Group,500 or above,Automotive,4,10,Senior,BBA,58000,94000,76000
2023-02-12,2023,2,Berlin,Germany,Full-Time,Male,Social Media Coordinator,Content Creator,Dice,Evolution Mining,500 or above,Mining and Metals/Gold,4,8,Senior,MCA,64000,93000,78500
2024-03-05,2024,3,Berlin,Germany,Intern,Male,Market Research Analyst,Market Researcher,Idealist,Owens Corning,500 or above,Building Materials,1,11,Senior,BA,64000,118000,91000
2025-06-01,2025,6,London,UK,Full-Time,Male,Systems Engineer,Systems Integration Specialist,Internships.com,Insurance Australia Group (IAG),500 or above,Insurance,3,8,Senior,M.Com,64000,129000,96500
2023-03-03,2023,3,Brussels,Belgium,Intern,Both,SEO Analyst,Technical SEO Analyst,LinkedIn,Berkeley Group Holdings,500 or above,Real Estate,1,15,Senior,MCA,57000,128000,92500
2022-12-07,2022,12,London,UK,Intern,Male,Event Coordinator,Wedding Coordinator,USAJOBS,Mutual of Omaha Insurance,500 or above,Insurance,0,15,Senior,MBA,64000,89000,76500
2024-10-02,2024,10,London,UK,Intern,Both,Mechanical Designer,CAD Technician,Indeed,Tractor Supply,500 or above,Retail,1,9,Senior,MBA,56000,128000,92000
2024-01-09,2024,1,Tokyo,Japan,Part-Time,Male,Event Planner,Event Coordinator,Snagajob,Sirius XM Holdings Inc.,500 or above,Telecommunications/Radio,0,8,Senior,PhD,61000,105000,83000
2024-02-04,2024,2,Singapore,Singapore,Part-Time,Female,Procurement Manager,Supplier Diversity Manager,Stack Overflow Jobs,Glencore,500 or above,Mining and Metals,4,13,Senior,BA,63000,93000,78000
2023-07-01,2023,7,London,UK,Contract,Male,Litigation Attorney,Family Law Attorney,USAJOBS,Bajaj Finance,500 or above,Financial Services,3,15,Senior,BBA,63000,119000,91000
2023-11-12,2023,11,Paris,France,Temporary,Both,Office Manager,Office Coordinator,FlexJobs,Devon Energy,500 or above,Energy,4,9,Senior,B.Com,60000,128000,94000
2022-06-11,2022,6,Hanoi,Vietnam,Full-Time,Male,Electrical Designer,Electrical Engineer,Jobs2Careers,Cochlear Limited,500 or above,Healthcare/Technology,4,14,Senior,BCA,64000,117000,90500
2022-08-10,2022,8,Beijing,China,Temporary,Female,Sales Associate,Retail Sales Associate,Jobs2Careers,Ecolab,500 or above,Water & Hygiene,4,12,Senior,BBA,65000,110000,87500
2023-02-07,2023,2,Madrid,Spain,Contract,Female,Research Analyst,Data Analyst Researcher,Stack Overflow Jobs,Axis Bank,500 or above,Banking,4,10,Senior,M.Tech,55000,120000,87500
2023-11-04,2023,11,Paris,France,Full-Time,Male,Social Worker,Child Welfare Worker,Stack Overflow Jobs,Booking Holdings,500 or above,Travel and Booking,2,15,Senior,M.Tech,55000,100000,77500
2022-03-02,2022,3,Canberra,Australia,Temporary,Male,Procurement Specialist,Sourcing Analyst,FlexJobs,Amazon.com,500 or above,Technology,3,11,Senior,PhD,55000,81000,68000
2023-05-07,2023,5,Canberra,Australia,Full-Time,Both,Mechanical Engineer,Manufacturing Engineer,Dice,Barclays,500 or above,Financial Services,4,10,Senior,BBA,57000,93000,75000
2023-02-03,2023,2,Paris,France,Full-Time,Both,Architect,Architectural Designer,Idealist,Kimberly-Clark,500 or above,Consumer Goods,3,12,Senior,BA,55000,86000,70500
2025-01-01,2025,1,London,UK,Intern,Male,Teacher,Subject Matter Expert,Internships.com,Meta Platforms,500 or above,Technology,2,10,Senior,PhD,63000,121000,92000
2024-04-04,2024,4,Singapore,Singapore,Temporary,Both,Research Scientist,Research Analyst,The Muse,LPL Financial Holdings,500 or above,Financial Services,5,8,Senior,B.Tech,65000,82000,73500
2023-11-05,2023,11,Brussels,Belgium,Temporary,Both,Software Engineer,Frontend Developer,USAJOBS,Allstate,500 or above,Insurance,0,12,Senior,M.Com,59000,108000,83500
2025-01-01,2025,1,Lisbon,Portugal,Intern,Male,Investment Advisor,Wealth Advisor,Dice,Ulta Beauty,500 or above,Beauty,5,14,Senior,B.Tech,62000,105000,83500
2022-05-06,2022,5,Brussels,Belgium,Temporary,Female,Sales Representative,Account Executive,The Muse,Drax Group,500 or above,Energy,5,15,Senior,B.Tech,61000,90000,75500
2024-09-03,2024,9,Paris,France,Part-Time,Female,UI Developer,Front-End Developer,Internships.com,Merck,500 or above,Healthcare,5,9,Senior,MCA,65000,122000,93500
2023-07-08,2023,7,City of Port Louis,Mauritius,Intern,Male,Digital Marketing Specialist,Email Marketing Specialist,ZipRecruiter,Continental Resources,500 or above,Energy,2,14,Senior,MBA,56000,94000,75000
2022-09-07,2022,9,Lisbon,Portugal,Full-Time,Female,Purchasing Agent,Inventory Manager,Idealist,Toll Brothers,500 or above,Home Construction,3,10,Senior,M.Com,57000,113000,85000
2022-10-10,2022,10,London,UK,Contract,Female,Quality Assurance Analyst,Quality Assurance Manager,Snagajob,Shree Cement,500 or above,Cement & Aggregates,2,10,Senior,PhD,62000,101000,81500
2023-03-12,2023,3,Paris,France,Contract,Both,Customer Service Representative,Live Chat Support Agent,Snagajob,W.R. Berkley,500 or above,Insurance,3,13,Senior,M.Tech,64000,88000,76000
2023-08-04,2023,8,Ottawa,Canada,Temporary,Both,Administrative Assistant,Executive Assistant,Internships.com,Fifth Third Bancorp,500 or above,Banking,2,9,Senior,PhD,60000,87000,73500
2023-07-06,2023,7,Ottawa,Canada,Intern,Both,Database Administrator,Database Security Specialist,The Muse,Western Digital,500 or above,Technology,3,11,Senior,B.Com,58000,119000,88500
2024-08-04,2024,8,Berlin,Germany,Part-Time,Male,Web Designer,Frontend Web Designer,FlexJobs,Iluka Resources,500 or above,Mining and Metals,3,11,Senior,MBA,59000,117000,88000
2022-08-04,2022,8,Ottawa,Canada,Contract,Male,SEO Analyst,Technical SEO Analyst,USAJOBS,Aflac,500 or above,Insurance,4,11,Senior,B.Com,59000,100000,79500
2023-05-01,2023,5,New Delhi,India,Intern,Male,Teacher,Special Education Teacher,Idealist,Amazon.com,500 or above,Technology,2,13,Senior,BCA,58000,98000,78000
2025-01-07,2025,1,Beijing,China,Part-Time,Male,Financial Controller,Accounting Controller,FlexJobs,Kotak Mahindra Bank,500 or above,Banking,2,12,Senior,BBA,56000,126000,91000
2024-01-01,2024,1,Paris,France,Intern,Female,Executive Assistant,Personal Assistant,Idealist,AECOM,500 or above,Engineering and Construction,0,11,Senior,PhD,58000,102000,80000
2023-01-02,2023,1,Madrid,Spain,Temporary,Female,Marketing Specialist,Digital Marketing Specialist,CareerBuilder,United Services Automobile Assn.,500 or above,Insurance,2,10,Senior,BBA,62000,85000,73500
2022-11-01,2022,11,Madrid,Spain,Intern,Both,Mechanical Engineer,Mechanical Design Engineer,SimplyHired,China Merchants Bank,500 or above,Banking,4,10,Senior,BA,55000,98000,76500
2022-01-04,2022,1,Lisbon,Portugal,Temporary,Male,Financial Advisor,Retirement Planner,ZipRecruiter,Daimler AG (now known as Mercedes-Benz AG),500 or above,Automotive,4,12,Senior,BCA,61000,117000,89000
2022-12-05,2022,12,"Washington, D.C.",USA,Temporary,Female,HR Coordinator,Recruitment Coordinator,FlexJobs,Walt Disney,500 or above,Entertainment,3,8,Senior,BCA,64000,130000,97000
2024-03-10,2024,3,Hanoi,Vietnam,Part-Time,Male,Customer Support Specialist,Customer Success Manager,Dice,C.H. Robinson Worldwide,500 or above,Logistics,4,8,Senior,BBA,58000,126000,92000
2022-12-11,2022,12,Brussels,Belgium,Intern,Female,SEM Specialist,SEM Analyst,Snagajob,PayPal Holdings,500 or above,Financial Services,1,11,Senior,BBA,61000,110000,85500
2022-05-09,2022,5,Ottawa,Canada,Temporary,Female,Wedding Planner,Wedding Consultant,Indeed,Infosys,500 or above,Information Technology,1,15,Senior,PhD,60000,108000,84000
2021-01-11,2021,1,New Delhi,India,Temporary,Both,Architect,Sustainable Design Specialist,Jobs2Careers,Celgene Corporation,500 or above,Pharmaceuticals,1,11,Senior,MBA,57000,104000,80500
2022-03-03,2022,3,New Delhi,India,Intern,Both,Art Teacher,Studio Art Teacher,Stack Overflow Jobs,Adani Enterprises,500 or above,Conglomerate,3,10,Senior,BCA,60000,130000,95000
2023-10-06,2023,10,Singapore,Singapore,Intern,Female,Environmental Consultant,Environmental Compliance Officer,SimplyHired,Farmers Insurance Exchange,500 or above,Insurance,3,11,Senior,BA,62000,105000,83500
2022-10-01,2022,10,London,UK,Temporary,Both,Business Development Manager,Market Expansion Manager,Stack Overflow Jobs,Avery Dennison,500 or above,Industrial,1,13,Senior,PhD,55000,115000,85000
2023-04-09,2023,4,Singapore,Singapore,Contract,Male,Graphic Designer,UI/UX Designer,Idealist,Diamondback Energy,500 or above,Energy,1,15,Senior,MCA,63000,90000,76500
2025-05-04,2025,5,Madrid,Spain,Part-Time,Female,Customer Success Manager,Onboarding Specialist,Snagajob,United Services Automobile Assn.,500 or above,Insurance,0,8,Senior,BBA,59000,83000,71000
2023-05-06,2023,5,Canberra,Australia,Contract,Both,Web Developer,Full-Stack Developer,Stack Overflow Jobs,Intel,500 or above,Technology,3,13,Senior,BA,64000,126000,95000
2023-07-02,2023,7,Paris,France,Part-Time,Male,Architect,Architectural Designer,Idealist,Freddie Mac,500 or above,Financial Services,3,12,Senior,MBA,59000,126000,92500
2023-04-01,2023,4,Bangkok,Thailand,Intern,Male,Chemical Engineer,Quality Control Engineer,SimplyHired,Unum Group,500 or above,Insurance,2,10,Senior,BCA,63000,113000,88000
2024-03-09,2024,3,Canberra,Australia,Intern,Female,Software Engineer,Frontend Developer,ZipRecruiter,Alphabet,500 or above,Technology,4,8,Senior,MCA,64000,118000,91000
2023-09-10,2023,9,Lisbon,Portugal,Intern,Both,Public Relations Specialist,Brand PR Specialist,Stack Overflow Jobs,National Australia Bank (NAB),500 or above,Banking,0,13,Senior,B.Com,58000,119000,88500
2023-10-02,2023,10,"Washington, D.C.",USA,Part-Time,Both,Digital Marketing Specialist,Social Media Manager,Glassdoor,Packaging Corp. of America,500 or above,Manufacturing,5,15,Senior,MCA,64000,91000,77500
2022-03-08,2022,3,Madrid,Spain,Contract,Male,Speech Therapist,Pediatric Speech Therapist,FlexJobs,Insurance Australia Group (IAG),500 or above,Insurance,4,8,Senior,PhD,57000,85000,71000
2022-05-12,2022,5,London,UK,Part-Time,Male,Occupational Therapist,Pediatric Occupational Therapist,USAJOBS,Public Service Enterprise Group,500 or above,Utilities,0,8,Senior,BCA,64000,110000,87000
2024-12-02,2024,12,"Washington, D.C.",USA,Contract,Female,Investment Advisor,Wealth Advisor,Stack Overflow Jobs,ODP,500 or above,Retail,0,13,Senior,M.Tech,60000,100000,80000
2021-03-12,2021,3,"Washington, D.C.",USA,Temporary,Female,Network Administrator,Network Security Analyst,Dice,Scottish Mortgage Investment Trust,51-500,Financial Services,1,9,Senior,BBA,61000,124000,92500
2023-04-06,2023,4,City of Port Louis,Mauritius,Full-Time,Both,Social Worker,Mental Health Counselor,Stack Overflow Jobs,BP (British Petroleum),500 or above,Oil & Gas,2,9,Senior,B.Tech,60000,113000,86500
2024-02-01,2024,2,Lisbon,Portugal,Temporary,Both,Digital Marketing Specialist,Social Media Manager,Idealist,Coterra Energy,51-500,Energy,4,13,Senior,MBA,57000,130000,93500
2023-02-02,2023,2,Paris,France,Contract,Both,Tax Consultant,Business Tax Consultant,Snagajob,Abbott Laboratories,500 or above,Healthcare,0,9,Senior,PhD,56000,93000,74500
2022-03-09,2022,3,"Washington, D.C.",USA,Temporary,Male,Customer Service Manager,Service Quality Assurance Manager,Monster,New Oriental Education & Technology Group,500 or above,Education and Technology,3,13,Senior,M.Com,60000,85000,72500
2023-05-04,2023,5,Canberra,Australia,Full-Time,Both,Business Development Manager,Market Expansion Manager,SimplyHired,D.R. Horton,500 or above,Real Estate,4,9,Senior,M.Tech,55000,126000,90500
2024-01-10,2024,1,New Delhi,India,Part-Time,Male,Supply Chain Manager,Demand Planner,Idealist,Pfizer,500 or above,Healthcare,2,10,Senior,M.Com,56000,94000,75000
2024-01-06,2024,1,Hanoi,Vietnam,Contract,Female,Personal Assistant,Personal Secretary,Glassdoor,Westinghouse Air Brake Technologies,500 or above,Manufacturing,2,13,Senior,PhD,59000,112000,85500
2023-10-02,2023,10,Paris,France,Part-Time,Both,Interior Designer,Hospitality Interior Designer,Jobs2Careers,Avnet,500 or above,Technology,2,15,Senior,B.Com,59000,94000,76500
2024-03-01,2024,3,Bangkok,Thailand,Temporary,Both,Administrative Assistant,Data Entry Specialist,Stack Overflow Jobs,Seaboard,500 or above,Transportation,5,9,Senior,BCA,55000,116000,85500
2022-03-10,2022,3,Bangkok,Thailand,Intern,Female,Quality Assurance Analyst,Test Automation Engineer,The Muse,WHSmith,500 or above,Retail,4,14,Senior,BBA,64000,108000,86000
2023-06-07,2023,6,Beijing,China,Part-Time,Female,Graphic Designer,UI/UX Designer,Jobs2Careers,Renishaw,500 or above,Manufacturing,2,11,Senior,B.Tech,59000,86000,72500
